Event.Clearance.Group,Event.Clearance.Date,Latitude,Longitude
HAZARDS,01/01/2017 05:40:13 PM,47.623955,-122.29548
"THREATS, HARASSMENT",01/01/2017 05:42:25 PM,47.61407,-122.32145
TRAFFIC RELATED CALLS,01/01/2017 05:43:05 AM,47.675266,-122.36739
SUSPICIOUS CIRCUMSTANCES,01/01/2017 05:43:15 PM,47.619038,-122.32785
DISTURBANCES,01/01/2017 05:45:30 PM,47.66366,-122.37049
FALSE ALACAD,01/01/2017 05:49:17 PM,47.62483,-122.30731
AUTO THEFTS,01/01/2017 05:50:52 AM,47.61211,-122.32076
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 05:51:17 PM,47.624573,-122.35214
CAR PROWL,01/01/2017 05:51:35 PM,47.608643,-122.326805
DISTURBANCES,01/01/2017 05:51:38 AM,47.627483,-122.32629
FRAUD CALLS,01/01/2017 05:52:34 PM,47.658325,-122.40461
CAR PROWL,01/01/2017 05:54:12 PM,47.658325,-122.40461
LIQUOR VIOLATIONS,01/01/2017 05:56:36 AM,47.613518,-122.32077
DISTURBANCES,01/01/2017 05:56:39 AM,47.62439,-122.30244
DISTURBANCES,01/01/2017 06:00:58 AM,47.61704,-122.325554
SUSPICIOUS CIRCUMSTANCES,01/01/2017 06:01:07 AM,47.615223,-122.32213
SUSPICIOUS CIRCUMSTANCES,01/01/2017 06:15:01 PM,47.68179,-122.361984
TRESPASS,01/01/2017 06:15:21 AM,47.618114,-122.32594
FALSE ALACAD,01/01/2017 06:20:01 PM,47.64898,-122.34275
CAR PROWL,01/01/2017 06:24:19 PM,47.659096,-122.316635
FRAUD CALLS,01/01/2017 06:25:11 PM,47.661728,-122.29085
TRESPASS,01/01/2017 06:28:00 AM,47.615227,-122.32277
DISTURBANCES,01/01/2017 06:29:22 PM,47.68983,-122.364655
TRAFFIC RELATED CALLS,01/01/2017 06:32:02 PM,47.65496,-122.400894
TRESPASS,01/01/2017 06:32:03 PM,47.659054,-122.31319
TRAFFIC RELATED CALLS,01/01/2017 06:32:06 PM,47.65083,-122.36088
FALSE ALACAD,01/01/2017 06:33:59 PM,47.609795,-122.312836
DISTURBANCES,01/01/2017 06:36:32 AM,47.615414,-122.351944
"NUISANCE, MISCHIEF",01/01/2017 06:42:04 PM,47.665043,-122.37218
TRAFFIC RELATED CALLS,01/01/2017 06:46:24 AM,47.691235,-122.306854
TRAFFIC RELATED CALLS,01/01/2017 06:46:25 PM,47.655396,-122.34732
OTHER PROPERTY,01/01/2017 06:50:07 PM,47.616856,-122.348434
AUTO THEFTS,01/01/2017 06:50:42 PM,47.67017,-122.37621
SUSPICIOUS CIRCUMSTANCES,01/01/2017 06:57:17 AM,47.612118,-122.3424
SUSPICIOUS CIRCUMSTANCES,01/01/2017 07:00:21 PM,47.620483,-122.32221
TRESPASS,01/01/2017 07:02:52 AM,47.608303,-122.3288
TRAFFIC RELATED CALLS,01/01/2017 07:09:24 AM,47.61756,-122.322174
SUSPICIOUS CIRCUMSTANCES,01/01/2017 07:16:12 PM,47.631,-122.35489
NARCOTICS COMPLAINTS,01/01/2017 07:17:32 PM,47.613,-122.330025
BEHAVIORAL HEALTH,01/01/2017 07:21:53 PM,47.66458,-122.28316
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 07:22:02 AM,47.636856,-122.37034
OTHER PROPERTY,01/01/2017 07:23:51 PM,47.608643,-122.31678
FALSE ALACAD,01/01/2017 07:29:31 AM,47.62466,-122.32094
SUSPICIOUS CIRCUMSTANCES,01/01/2017 07:29:44 PM,47.686813,-122.32699
TRAFFIC RELATED CALLS,01/01/2017 07:31:04 AM,47.692112,-122.305855
ASSAULTS,01/01/2017 07:33:06 AM,47.610214,-122.336685
TRAFFIC RELATED CALLS,01/01/2017 07:33:34 AM,47.627583,-122.343544
SUSPICIOUS CIRCUMSTANCES,01/01/2017 07:33:50 PM,47.613518,-122.32077
ARREST,01/01/2017 07:35:13 PM,47.657818,-122.321884
TRAFFIC RELATED CALLS,01/01/2017 07:38:32 AM,47.638977,-122.32007
SHOPLIFTING,01/01/2017 07:42:24 PM,47.609253,-122.33734
ASSAULTS,01/01/2017 07:44:20 PM,47.61278,-122.341545
TRAFFIC RELATED CALLS,01/01/2017 07:44:57 PM,47.618736,-122.320854
BEHAVIORAL HEALTH,01/01/2017 07:45:00 PM,47.67055,-122.38759
TRAFFIC RELATED CALLS,01/01/2017 07:46:03 AM,47.667645,-122.38474
DISTURBANCES,01/01/2017 07:46:45 PM,47.662125,-122.33916
DISTURBANCES,01/01/2017 07:49:19 AM,47.691505,-122.35531
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 07:53:34 AM,47.633415,-122.34349
DISTURBANCES,01/01/2017 07:54:10 AM,47.701393,-122.36273
DISTURBANCES,01/01/2017 07:55:16 PM,47.608788,-122.33845
CAR PROWL,01/01/2017 07:55:17 PM,47.608055,-122.31612
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 07:57:10 PM,47.663074,-122.30652
LIQUOR VIOLATIONS,01/01/2017 07:57:20 PM,47.610744,-122.3387
BURGLARY,01/01/2017 07:58:49 AM,47.68054,-122.31983
SUSPICIOUS CIRCUMSTANCES,01/01/2017 08:00:05 PM,47.623714,-122.32532
FALSE ALACAD,01/01/2017 08:01:57 PM,47.630344,-122.27996
DISTURBANCES,01/01/2017 08:06:38 PM,47.611835,-122.34392
SUSPICIOUS CIRCUMSTANCES,01/01/2017 08:10:09 PM,47.609516,-122.33835
TRESPASS,01/01/2017 08:10:23 AM,47.612988,-122.32277
"NUISANCE, MISCHIEF",01/01/2017 08:11:36 PM,47.61132,-122.33732
TRAFFIC RELATED CALLS,01/01/2017 08:11:56 PM,47.66567,-122.313065
